timestamp,target pos (5),pos (5),speed (5),load (5),current (5),temp (5),status (5),moving (5),target pos (3),pos (3),speed (3),load (3),current (3),temp (3),status (3),moving (3),target pos (4),pos (4),speed (4),load (4),current (4),temp (4),status (4),moving (4)
2025-11-09T09:27:14.738Z,2047,2051,0,24,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:14.839Z,2047,2051,0,24,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:14.941Z,2047,2051,0,24,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:15.042Z,2047,2051,0,24,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:15.142Z,2047,2051,0,24,0,37,0,0,2147,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:15.243Z,2047,2051,0,24,0,37,0,0,2147,1765,250,1176,20,35,0,1,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:15.343Z,2047,2042,33068,1056,1,37,0,0,2147,1896,1550,1392,39,35,0,1,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:15.444Z,2047,2040,0,1072,1,37,0,0,2147,2073,1600,1280,29,35,0,1,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:15.545Z,2047,2039,0,1080,2,37,0,0,2147,2142,150,1064,3,35,0,1,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:15.646Z,2047,2039,0,1080,2,37,0,0,1747,2142,0,1064,3,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:15.745Z,2047,2039,0,1080,1,37,0,0,1747,2125,33318,128,14,35,0,1,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:15.846Z,2047,2039,0,1080,2,37,0,0,1747,1997,34468,352,33,35,0,1,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:15.946Z,2047,2040,0,1072,2,37,0,0,1747,1815,34268,224,21,35,0,1,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:16.049Z,2047,2044,50,1036,0,37,0,0,1747,1748,32918,8,0,35,0,1,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:16.149Z,2047,2044,0,1040,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:16.249Z,2047,2044,0,1040,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:16.351Z,2047,2044,0,1040,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:16.451Z,2047,2044,0,1040,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:16.552Z,2047,2044,0,1040,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:16.653Z,1947,2044,0,1040,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:16.753Z,1947,2044,0,24,1,37,0,1,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:16.852Z,1947,2025,33118,72,2,37,0,1,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:16.954Z,1947,1986,33218,72,2,37,0,1,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:17.054Z,1947,1959,32968,52,1,37,0,1,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:17.155Z,1947,1953,0,40,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:17.256Z,1947,1953,0,40,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:17.356Z,1947,1953,0,40,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:17.457Z,1947,1953,0,40,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:17.557Z,1947,1953,0,40,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:17.658Z,2047,1953,0,40,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:17.758Z,2047,1953,0,1028,0,37,0,1,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:17.858Z,2047,1965,250,1132,2,37,0,1,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:17.960Z,2047,2008,450,1092,2,37,0,1,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:18.059Z,2047,2034,250,1080,1,37,0,1,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:18.160Z,2047,2042,0,1056,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:18.261Z,2047,2042,0,1056,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:18.362Z,2047,2042,0,1056,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:18.463Z,2047,2042,0,1056,0,37,0,0,1747,1748,0,8,0,34,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:18.563Z,2047,2042,0,1056,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:18.663Z,2047,2042,0,1056,1,37,0,0,1747,1748,0,8,0,35,0,0,1947,2347,0,0,0,35,0,0
2025-11-09T09:27:18.764Z,2047,2042,0,1056,1,37,0,0,1747,1748,0,8,0,35,0,0,1947,2321,33418,166,11,36,0,1
2025-11-09T09:27:18.865Z,2047,2050,250,16,0,37,0,0,1747,1748,0,8,0,35,0,0,1947,2179,34468,412,41,35,0,1
2025-11-09T09:27:18.965Z,2047,2052,0,32,1,37,0,0,1747,1748,0,8,0,35,0,0,1947,2003,34218,221,26,35,0,1
2025-11-09T09:27:19.065Z,2047,2053,0,40,1,37,0,0,1747,1748,0,8,0,35,0,0,1947,1949,32918,25,1,36,0,1
